track_id,enter_ts,exit_ts,dwell_seconds,enter_iso,exit_iso
81,1780327442.6275241,1780327452.519091,9.89,2026-06-01T15:24:02+00:00,2026-06-01T15:24:12+00:00
82,1780327442.6785002,1780327463.168444,20.49,2026-06-01T15:24:02+00:00,2026-06-01T15:24:23+00:00
84,1780327442.7288709,1780327442.7542222,0.03,2026-06-01T15:24:02+00:00,2026-06-01T15:24:02+00:00
85,1780327442.852532,1780327443.0250602,0.17,2026-06-01T15:24:02+00:00,2026-06-01T15:24:03+00:00
87,1780327447.063144,1780327451.957103,4.89,2026-06-01T15:24:07+00:00,2026-06-01T15:24:11+00:00
89,1780327447.335863,1780327457.792237,10.46,2026-06-01T15:24:07+00:00,2026-06-01T15:24:17+00:00
91,1780327447.410563,1780327462.285743,14.88,2026-06-01T15:24:07+00:00,2026-06-01T15:24:22+00:00
92,1780327447.43578,1780327458.086563,10.65,2026-06-01T15:24:07+00:00,2026-06-01T15:24:18+00:00
95,1780327451.9818938,1780327452.108554,0.13,2026-06-01T15:24:11+00:00,2026-06-01T15:24:12+00:00
97,1780327452.183133,1780327473.1813009,21.0,2026-06-01T15:24:12+00:00,2026-06-01T15:24:33+00:00
98,1780327452.346255,1780327452.7545779,0.41,2026-06-01T15:24:12+00:00,2026-06-01T15:24:12+00:00
99,1780327452.6161962,1780327452.6161962,0.0,2026-06-01T15:24:12+00:00,2026-06-01T15:24:12+00:00
100,1780327452.661671,1780327462.890804,10.23,2026-06-01T15:24:12+00:00,2026-06-01T15:24:22+00:00
101,1780327452.73056,1780327473.159175,20.43,2026-06-01T15:24:12+00:00,2026-06-01T15:24:33+00:00
102,1780327452.8246038,1780327462.989428,10.16,2026-06-01T15:24:12+00:00,2026-06-01T15:24:22+00:00
103,1780327452.947766,1780327452.947766,0.0,2026-06-01T15:24:12+00:00,2026-06-01T15:24:12+00:00
104,1780327457.017472,1780327457.7638311,0.75,2026-06-01T15:24:17+00:00,2026-06-01T15:24:17+00:00
103,1780327457.121602,1780327457.14869,0.03,2026-06-01T15:24:17+00:00,2026-06-01T15:24:17+00:00
73,1780327457.121602,1780327462.464811,5.34,2026-06-01T15:24:17+00:00,2026-06-01T15:24:22+00:00
109,1780327457.276375,1780327457.276375,0.0,2026-06-01T15:24:17+00:00,2026-06-01T15:24:17+00:00
111,1780327457.657069,1780327457.7638311,0.11,2026-06-01T15:24:17+00:00,2026-06-01T15:24:17+00:00
113,1780327457.953851,1780327462.0453591,4.09,2026-06-01T15:24:17+00:00,2026-06-01T15:24:22+00:00
114,1780327458.086563,1780327458.086563,0.0,2026-06-01T15:24:18+00:00,2026-06-01T15:24:18+00:00
115,1780327462.106789,1780327462.965059,0.86,2026-06-01T15:24:22+00:00,2026-06-01T15:24:22+00:00
